"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"HLA.C.10",5.55232827038748e-150,0.876472793835876,0.989,0.686,1.12040432168149e-145,"12","HLA.C"
"HLA.B.9",8.40110446708169e-147,0.787360773973684,1,0.896,1.69525887041241e-142,"12","HLA.B"
"TNFAIP3.9",1.5151083026321e-145,0.943295235936796,0.756,0.234,3.05733704388132e-141,"12","TNFAIP3"
"HLA.A.7",1.57224438876522e-139,0.789860061567831,0.997,0.844,3.17263195208933e-135,"12","HLA.A"
"IL32.7",2.62818399551929e-139,1.0341270325217,0.776,0.277,5.30341248455838e-135,"12","IL32"
"B2M.10",7.61549759142035e-134,0.611682670397965,1,0.965,1.53673125897271e-129,"12","B2M"
"ACTB.10",1.1994776170645e-132,0.761785195801811,0.994,0.778,2.42042588347446e-128,"12","ACTB"
"TMSB4X.10",3.44656408768069e-131,0.670488133179449,1,0.91,6.95482167253086e-127,"12","TMSB4X"
"PFN1.10",9.41539867900688e-127,0.870297073868277,0.961,0.554,1.8999332994368e-122,"12","PFN1"
"DUSP2.8",1.93808607852157e-119,0.894126093714252,0.629,0.18,3.91086389784867e-115,"12","DUSP2"
"GZMA.1",6.42656529815466e-118,0.735916224185882,0.493,0.113,1.29681661151463e-113,"12","GZMA"
"NKG7.1",4.81823643145165e-112,0.880183611607867,0.496,0.12,9.72271929502628e-108,"12","NKG7"
"RPS11P5.2",2.89368410362528e-110,0.534160035747977,0.524,0.125,5.83916515270545e-106,"12","RPS11P5"
"RPL41P2.2",2.31671062148029e-109,0.354421830839065,0.332,0.053,4.67489036308508e-105,"12","RPL41P2"
"IL2RB.1",2.80957318031949e-106,0.524917973959423,0.446,0.097,5.6694377205667e-102,"12","IL2RB"
"CXCR4.7",2.8742654176736e-106,0.950436079169372,0.931,0.55,5.79998018632357e-102,"12","CXCR4"
"IL2RG.4",1.33371765440111e-105,0.592845172838358,0.623,0.191,2.69130885481601e-101,"12","IL2RG"
"SPP1.11",6.22314952191247e-105,-1.33930178886927,0.587,0.135,1.25576934202672e-100,"12","SPP1"
"RPS20P14.2",3.81661042066971e-101,0.403687890727576,0.402,0.081,7.70153816786941e-97,"12","RPS20P14"
"SRGN.7",4.62300500126034e-101,0.689306455840339,0.909,0.468,9.32876179204325e-97,"12","SRGN"
"SPOCK2",9.84443186155221e-101,0.606693094095504,0.554,0.159,1.98650790534262e-96,"12","SPOCK2"
"RAC2.7",1.09009058092798e-99,0.650139915581569,0.745,0.291,2.19969378325458e-95,"12","RAC2"
"TRAC.8",5.24886115371985e-99,0.913827479182217,0.745,0.318,1.05916769220913e-94,"12","TRAC"
"BTG1.6",4.97688103513095e-98,0.787322040837723,0.97,0.71,1.00428482407907e-93,"12","BTG1"
"CFL1.9",3.14462039366132e-97,0.623027383178101,0.928,0.564,6.34552949236918e-93,"12","CFL1"
"ZFP36L2.9",5.72740492016281e-97,0.942164687812827,0.95,0.701,1.15573303883965e-92,"12","ZFP36L2"
"ETS1.6",9.264249102609e-97,0.696425753373476,0.767,0.34,1.86943282641547e-92,"12","ETS1"
"CORO1A.1",4.93117863546583e-95,0.392277671225945,0.413,0.091,9.9506253685065e-91,"12","CORO1A"
"TMSB10.9",2.48521374091911e-94,0.579575257054924,0.964,0.676,5.01491280780066e-90,"12","TMSB10"
"CST7.1",2.04202631864128e-92,0.581942956742851,0.496,0.136,4.12060490838624e-88,"12","CST7"
"ARHGDIB.8",2.45762748603991e-92,0.702460124287323,0.864,0.456,4.95924650407994e-88,"12","ARHGDIB"
"LCK",4.74504016683888e-91,0.469878397248841,0.443,0.11,9.57501655266418e-87,"12","LCK"
"CD69.6",1.29850163258101e-90,0.67789414231648,0.693,0.257,2.62024644438523e-86,"12","CD69"
"SH3BGRL3.9",3.28638480342334e-88,0.477061763382368,0.889,0.471,6.63159589482796e-84,"12","SH3BGRL3"
"FLNA.9",1.32754827930298e-86,0.483359491706356,0.834,0.379,2.67885967280548e-82,"12","FLNA"
"RP11.889L3.1.2",4.86736381195962e-86,0.301050742616529,0.346,0.069,9.82185343615331e-82,"12","RP11.889L3.1"
"RUNX3",6.23106027924624e-86,0.538498564383921,0.512,0.152,1.2573656537491e-81,"12","RUNX3"
"CD7.1",3.79596291360166e-83,0.56502415967825,0.454,0.126,7.65987356335678e-79,"12","CD7"
"LCP1.8",1.04517142673507e-82,0.530670802950832,0.759,0.33,2.1090514220087e-78,"12","LCP1"
"HCST.7",3.74191985015582e-82,0.502509467309795,0.634,0.225,7.55082006562943e-78,"12","HCST"
"GZMH.1",6.33213103122794e-82,0.512259067453145,0.33,0.068,1.27776072079149e-77,"12","GZMH"
"LTB",2.01179280866163e-81,0.774304445433567,0.429,0.116,4.0595967085983e-77,"12","LTB"
"CD52.10",5.6182080040115e-81,0.585505251422081,0.789,0.402,1.13369819312948e-76,"12","CD52"
"CD247.1",9.63463909791862e-81,0.465712845046388,0.413,0.105,1.944173823569e-76,"12","CD247"
"TRBC2.8",1.62431725300163e-80,0.856630566270398,0.632,0.25,3.27770978483199e-76,"12","TRBC2"
"RPL28.6",1.99314327610495e-80,0.717493672714459,0.97,0.78,4.02196381685217e-76,"12","RPL28"
